person_id,mention_text_clean,count
P01200,Пьер,769
P00067,Андрей,547
P00969,Наташа,448
P01001,Николай,296
P00067,Князь Андрей,254
P01200,Пьера,232
P00067,Андрея,224
P00205,Борис,182
P00739,Кутузов,168
P00466,Долохов,164
P00951,Наполеон,146
P01330,Соня,141
P00445,Денисов,132
P00852,Марья,123
P01200,Пьеру,114
P00067,Андрею,111
P01239,Ростов,104
P00093,Анна Павловна,104
P01579,Элен,101
P00245,Василий,101
P00238,Бурьен,98
P00852,Княжна Марья,97
P00061,Анатоль,96
P00951,Наполеона,87
P00090,Анна Михайловна,85
P00739,Кутузова,82
P00045,Алпатыч,78
P01001,Николая,72
P00969,Наташи,71
P00129,Багратион,71
P00161,Берг,69
P00969,Наташу,67
P00191,Болконский,65
P00469,Долохова,63
P00989,Несвицкий,60
P00205,Бориса,60
P01111,Петя,60
P00969,Наташе,58
P01242,Ростовых,57
P00445,Денисова,54
P00245,Василия,53
P00680,Княжна,46
P01340,Сперанский,45
P00061,Анатоля,45
P00511,Ежели,44
P00191,Болконского,43
P00969,Наташей,43
P00198,Бонапарт,42
P00554,Жюли,41
P00093,Анны Павловны,40
P00245,Князь Василий,40
P00129,Багратиона,39
P00031,Александра,39
P01406,Тихон,39
P00852,Марьи,38
P00852,Марье,38
P00739,Кутузову,37
P00166,Билибин,36
P00619,Ипполит,36
P00135,Балашов,35
P00179,Бог,35
P00234,Буонапарте,35
P01430,Тушин,34
P00395,Государь,34
P01001,Николаю,33
P00205,Борису,32
P00031,Александр,31
P00149,Безухова,31
P00542,Жерков,31
P00067,Андреем,30
P01242,Ростовым,30
P00402,Графиня,30
P00277,Вера,30
P01200,Пьером,30
P00426,Даву,29
P00951,Наполеону,29
P00160,Бенигсен,29
P00135,Балашова,27
P01197,Пфуль,26
P00198,Бонапарта,26
P01330,Сони,26
P00397,Граф,26
P00846,Марью,25
P00683,Князь,25
P01340,Сперанского,24
P01330,Соне,24
P01330,Соню,24
P00897,Митенька,23
P01431,Тушина,23
P00679,Княгиня,23
P00179,Бога,23
P00482,Дрон,23
P00812,Мадемуазель Бурьен,23
P00431,Данила,22
P01150,Пончини,22
P01610,Яков Алпатыч,21
P00858,Марья Дмитриевна,21
P00951,Наполеоном,20
P00179,Богу,20
P00605,Ильин,19
P00090,Анны Михайловны,19
P01001,Николаем,19
P00464,Долгорукий,19
P00191,Болконскому,19
P00690,Коко,19
P00205,Борисом,18
P00105,Аракчеев,18
P01008,Николай Ростов,18
P00774,Лицо,18
P01330,Соней,18
P01003,Николай Андреевич,17
P01245,Ростопчин,17
P00168,Билибина,17
P00550,Жорж,17
P00044,Алпатыча,17
P01239,Ростовы,17
P00939,Мюрат,17
P01347,Старик,17
P00149,Безухов,17
P01398,Телянин,17
P00098,Анне Павловне,16
P00506,Дядюшка,16
P01554,Шиншин,16
P00763,Лиза,16
P01239,Ростову,16
P00608,Илья Андреевич,15
P00645,Карай,15
P01111,Петю,15
P00469,Долохову,15
P00161,Берга,14
P00889,Метивье,14
P00198,Бонапарте,14
P00846,Мари,14
P00334,Вас,14
P01403,Тимохин,14
P01406,Тихона,14
P00129,Багратиону,14
P00245,Василию,14
P00684,Князю Андрею,14
P00961,Натали,14
P01286,Семен,14
P00067,Андрее,14
