person_id,first_name,last_name,canonical_full_name,titles_roles,evidence_count,confidence
P00067,Андрей,,Андрей,"[{'title': 'князь', 'count': 254}]",1180,1.0
P01200,Пьер,,Пьер,"[{'title': 'мсье', 'count': 3}]",1157,1.0
P00969,Наташа,,Наташа,[],687,1.0
P01001,Николай,,Николай,[],425,1.0
P00852,Марья,,Марья,"[{'title': 'княжна', 'count': 108}]",314,1.0
P00205,Борис,,Борис,[],301,1.0
P00739,Кутузов,,Кутузов,"[{'title': 'адъютант', 'count': 1}]",296,1.0
P00951,Наполеон,,Наполеон,"[{'title': 'император', 'count': 4}]",291,1.0
P01330,Соня,,Соня,[],233,1.0
P00245,Василий,,Василий,"[{'title': 'князь', 'count': 40}]",214,1.0
P00445,Денисов,,Денисов,[],210,1.0
P00466,Долох,,Долохов,[],164,1.0
P00061,Анатоль,,Анатоль,[],162,1.0
P00093,Анна,Павлович,Анна Павловна,[],159,1.0
P01239,Ростов,,Ростов,"[{'title': 'граф', 'count': 3}]",145,1.0
P00129,Багратион,,Багратион,"[{'title': 'князь', 'count': 6}]",139,1.0
P00191,Болконский,,Болконский,[],136,1.0
P00090,Анна,Михаилович,Анна Михайловна,"[{'title': 'княгиня', 'count': 1}]",128,1.0
P00161,Берг,,Берг,[],104,1.0
P01579,Элен,,Элен,"[{'title': 'княжна', 'count': 2}]",103,1.0
P00198,Бонапарт,,Бонапарт,"[{'title': 'адъютант', 'count': 1}]",103,1.0
P00238,Бурьен,,Бурьен,[],98,1.0
P01242,Ростовый,,Ростовых,[],98,1.0
P01111,Петя,,Петя,[],96,1.0
P00179,Бог,,Бог,[],94,1.0
P00031,Александр,,Александра,"[{'title': 'император', 'count': 4}]",88,1.0
P01340,Сперанский,,Сперанский,[],84,1.0
P00469,Долохов,,Долохова,[],80,1.0
P00135,Балашов,,Балашов,[],78,1.0
P00045,Алпатыч,,Алпатыч,[],78,1.0
P00149,Безухов,,Безухова,[],71,1.0
P00989,Несвицкий,,Несвицкий,"[{'title': 'князь', 'count': 1}]",69,1.0
P00277,Вера,,Вера,[],61,1.0
P01406,Тихон,,Тихон,[],58,1.0
P00619,Ипполит,,Ипполит,"[{'title': 'князь', 'count': 8}]",58,1.0
P01430,Тушин,,Тушин,[],47,0.9695359714832658
P00680,Княжна,,Княжна,[],46,0.9591663046625439
P00511,Ежели,,Ежели,[],44,0.938083151964686
P00554,Жюли,,Жюли,[],41,0.9055385138137416
P00234,Буонапарта,,Буонапарте,[],40,0.8944271909999159
P00846,Марь,,Марью,[],39,0.8831760866327847
P00608,Илья,Андреевич,Илья Андреевич,"[{'title': 'граф', 'count': 11}]",38,1.0
P00482,Дрон,,Дрон,[],37,0.8602325267042626
P00166,Билибина,,Билибин,[],36,0.848528137423857
P00464,Долгорукий,,Долгорукий,"[{'title': 'князь', 'count': 1}]",35,0.8366600265340756
P00395,Государь,,Государь,[],35,0.8366600265340756
P01197,Пфуля,,Пфуль,[],34,0.8246211251235321
P01003,Николай,Андреевич,Николай Андреевич,"[{'title': 'князь', 'count': 1}]",34,0.9746211251235322
P00858,Марья,Дмитриевич,Марья Дмитриевна,[],34,0.9746211251235322
P01245,Ростопчина,,Ростопчин,"[{'title': 'граф', 'count': 1}]",33,0.812403840463596
P00897,Митенька,,Митенька,[],33,0.812403840463596
P00431,Данил,,Данила,[],33,0.812403840463596
P00402,Графиня,,Графиня,[],33,0.812403840463596
P00605,Ильин,,Ильин,[],32,0.8
P00939,Мюрата,,Мюрат,[],32,0.8
P00542,Жерковы,,Жерков,[],31,0.7874007874011811
P01403,Тимохин,,Тимохин,[],30,0.7745966692414834
P00105,Аракчеев,,Аракчеев,[],30,0.7745966692414834
P00160,Бенигсный,,Бенигсен,[],29,0.7615773105863908
P00763,Лиза,,Лиза,[],29,0.7615773105863908
P01398,Телянина,,Телянин,[],29,0.7615773105863908
P00426,Дава,,Даву,[],29,0.7615773105863908
P00397,Граф,,Граф,[],27,0.7348469228349535
P01554,Шиншина,,Шиншин,[],25,0.7071067811865476
P00044,Алпатыкать,,Алпатыча,[],25,0.7071067811865476
P00684,Князь,Андрей,Князю Андрею,[],25,0.8571067811865476
P01008,Николай,Ростов,Николай Ростов,[],25,0.8571067811865476
P00683,Князь,,Князь,[],25,0.7071067811865476
P00679,Княгиня,,Княгиня,[],24,0.6928203230275509
P00689,Козловский,,Козловский,[],23,0.6782329983125268
P01431,Тушино,,Тушина,[],23,0.6782329983125268
P00812,Мадемуазель,Бурьен,Мадемуазель Бурьен,[],23,0.8282329983125268
P00730,Курагина,,Курагина,"[{'title': 'княгиня', 'count': 1}]",23,0.6782329983125268
P01150,Пончинить,,Пончини,[],22,0.6633249580710799
P01375,Суворов,,Суворова,[],21,0.648074069840786
P01488,Франц,,Франц,"[{'title': 'император', 'count': 2}]",21,0.648074069840786
P01610,Яков,Алпатыч,Яков Алпатыч,[],21,0.798074069840786
P01347,Старик,,Старик,[],21,0.648074069840786
P00168,Билибино,,Билибина,[],20,0.6324555320336759
P00774,Лицо,,Лицо,[],19,0.6164414002968976
P00139,Барклай,,Барклай,[],19,0.6164414002968976
P00690,Коко,,Коко,[],19,0.6164414002968976
P00857,Марья,Генрихович,Марья Генриховна,[],19,0.7664414002968977
P00087,Анисья,Фёдорович,Анисья Федоровна,[],18,0.75
P00744,Лаврушка,,Лаврушка,[],18,0.6
P00794,Лошадь,,Лошади,[],17,0.5830951894845301
P00490,Дуняша,,Дуняша,[],17,0.5830951894845301
P00334,Вы,,Вас,[],17,0.5830951894845301
P00708,Кочубей,,Кочубей,[],17,0.5830951894845301
P00550,Жорж,,Жорж,[],17,0.5830951894845301
P00062,Анатоль,Курагина,Анатоль Курагин,[],17,0.7330951894845301
P00541,Жеркова,,Жеркова,[],17,0.5830951894845301
P00645,Карать,,Карай,[],16,0.565685424949238
P00098,Анне,Павлович,Анне Павловне,[],16,0.715685424949238
P01057,Он,,Ему,[],16,0.565685424949238
P00506,Дядюшка,,Дядюшка,[],16,0.565685424949238
P01286,Семён,,Семен,[],15,0.5477225575051661
P00603,Илагин,,Илагин,[],15,0.5477225575051661
